the;1
and;524925431
to;522060324
of;47924654
a;414995492
in;319605611
is;228643211
that;206678883
for;191829297
I;168140981
you;167954871
it;164625551
with;143713842
on;132987578
as;121096685
are;117076557
be;111692511
this;108911876
was;93229195
have;91128626
or;84098436
at;81914819
not;80347597
your;79876543
from;78075848
we;74827524
by;74187949
will;69305357
can;6754925
but;67276342
they;66757062
an;65117904
he;61907877
all;56608469
has;51622511
if;51470266
their;51079905
one;4963829
do;49595191
more;48662669
my;4792925
his;46902488
so;45302886
there;43674591
about;42983225
which;42105039
when;40990189
what;40247117
out;38021797
up;37618345
our;37509548
who;36373994
also;35971369
had;34594096
time;34443594
some;33720519
would;33395366
were;31718228
like;31432843
been;3133829
just;31113402
her;31075526
new;30710406
other;30325255
them;29554374
she;28390747
people;28003732
these;27934961
no;27555759
get;27478754
how;27261747
me;26469619
into;26366573
than;25435996
only;24425091
its;24200355
most;23967299
may;23668058
any;23665703
many;22870087
make;22454059
then;22372982
well;22111565
first;22001231
very;21833832
over;21571393
now;21419108
could;20926017
after;20771216
even;20478353
because;19861197
us;19504922
said;19440199
good;19193624
way;19104049
two;18977396
should;18745961
work;1868177
use;18603318
through;17911396
see;17725508
know;17153031
did;17138124
much;17109729
where;17055656
years;1700727
need;16709615
him;16694353
back;16649114
such;16571872
those;16012402
being;15820984
day;15784657
take;15696237
while;15637653
here;1487365
before;14830574
does;14751169
great;14547011
year;14504413
go;14029396
help;13996321
want;13993133
really;1372138
think;13374359
best;13355354
life;13328099
each;13312511
made;13259195
right;13111642
world;12991491
business;12616545
home;12599991
own;12516464
down;12467967
still;1240211
used;12328095
find;12320723
around;12167874
going;11898502
every;11859063
both;11679594
last;11595968
off;11569725
too;11479808
same;11432415
information;11075365
little;10766303
another;10623774
look;10524255
few;10495516
long;10369788
part;10280685
since;10258405
things;10252806
place;10245018
am;10038642
between;9960935
during;9949255
different;9939053
must;9841122
come;9817009
using;9654397
however;9645115
without;95512
high;945611
why;9426274
something;9425096
online;9381351
system;9308803
better;9279119
three;9269696
never;9242471
always;922474
love;9185369
say;9150194
might;8982671
next;8586241
company;8574749
state;8481563
number;8469585
again;8429671
free;8413316
lot;838647
under;8284082
family;8232125
found;8166999
within;8120089
give;8116348
set;8115046
school;8060074
important;8048951
water;7994938
able;7981421
keep;7960998
got;7955472
sure;7872847
end;787162
money;785666
service;7844456
small;7842917
put;7712951
experience;7699847
having;7622843
once;7581673
available;7567244
health;7511282
support;7485655
often;7464411
including;7440113
days;7319898
away;7230286
old;7199401
area;718037
feel;715783
read;7130102
show;7097746
big;7034561
against;7028988
thing;7027604
order;7023461
program;700629
though;7002594
city;6959107
group;6951108
services;693814
site;6935996
making;6904571
course;688794
point;6864569
children;684023
times;6811031
team;680314
game;6794955
along;677971
let;6704087
house;6697971
today;6689011
body;6670936
working;6647073
case;6642806
man;6635832
real;6628364
provide;6624555
care;6589148
public;6580371
top;6571428
looking;6551938
several;6538382
start;6535156
less;6501283
process;6455805
become;6449223
actually;6446769
local;6431445
together;6389012
person;6375796
change;6365619
book;6346131
enough;6330627
getting;6305745
week;6294445
power;6283127
until;6279217
market;6278657
fact;6253933
god;6187566
food;6164898
students;6161501
full;6154503
women;612685
community;6120878
name;6108613
second;610273
data;5978432
government;5977773
says;5941346
others;5934049
ever;5916872
yet;5885271
research;5876458
done;5838543
left;5834386
far;5766974
large;5755556
called;5735066
doing;5722237
already;5715668
development;5709765
social;5663583
open;5658645
possible;5594526
side;5582262
play;5526169
means;5508229
needs;5494563
try;5473029
came;547094
ca;5460588
based;5415248
hard;5406588
thought;5390601
products;5382203
national;5361168
quality;5335072
level;5327564
live;5307148
design;5287279
makes;5275891
project;5252999
line;5209809
night;5198831
least;5193715
whether;5175288
job;5161912
car;5160728
example;5160722
include;5135126
following;5121257
given;512083
website;5084624
past;5082648
plan;5077115
offer;50761
buy;5069136
call;5067112
went;5044605
simply;5021262
hand;5016859
music;501013
easy;4988765
problem;4974051
men;4966138
country;4958446
took;4950396
four;4950385
members;4941637
form;4928591
personal;4924748
